index	label	name	hemisphere	region_abbrev	lobe	cortex_type	x_cog	y_cog	z_cog	volume_mm3
174	LBelt_L	Lateral_Belt_Complex_L	L	LBelt	Temp	Early_Auditory	136.829565	99.368696	79.617391	575
175	A4_L	Auditory_4_Complex_L	L	A4	Temp	Auditory_Association	155.165477	104.292219	78.188243	2943
176	STSva_L	Area_STSv_anterior_L	L	STSva	Temp	Auditory_Association	142.689243	118.134462	52.832669	1004
177	TE1m_L	Area_TE1_Middle_L	L	TE1m	Temp	Lateral_Temporal	155.554922	101.395287	54.901178	2631
178	PI_L	Para-Insular_Area_L	L	PI	Temp	Insular_and_Frontal_Opercular	134.650549	124.293407	56.102198	910
179	a32pr_L	Area_anterior_32_prime_L	L	a32pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	97.782313	155.883735	101.53927	1617
180	p24_L	Area_posterior_24_L	L	p24	Fr	Anterior_Cingulate_and_Medial_Prefrontal	95.442887	162.526279	84.888577	1427
201	V1_R	Primary_Visual_Cortex_R	R	V1	Occ	Primary_Visual	78.060375	44.539286	74.333474	7089
202	MST_R	Medial_Superior_Temporal_Area_R	R	MST	Occ	MT+_Complex_and_Neighboring_Visual_Areas	43.620295	63.751227	78.013093	611
203	V6_R	Sixth_Visual_Area_R	R	V6	Occ	Dorsal_Stream_Visual	72.226868	49.256228	102.929715	1124
204	V2_R	Second_Visual_Area_R	R	V2	Occ	Early_Visual	77.026083	47.558042	76.305265	6211
205	V3_R	Third_Visual_Area_R	R	V3	Occ	Early_Visual	71.976821	41.580308	78.859282	4875
206	V4_R	Fourth_Visual_Area_R	R	V4	Occ	Early_Visual	57.656017	41.782393	71.003195	2817
207	V8_R	Eighth_Visual_Area_R	R	V8	Occ	Ventral_Stream_Visual	60.698264	51.949266	59.301736	749
208	4_R	Primary_Motor_Cortex_R	R	4	Fr	Somatosensory_and_Motor	60.980681	108.738321	126.822972	5694
209	3b_R	Primary_Sensory_Cortex_R	R	3b	Fr	Somatosensory_and_Motor	52.032115	105.85919	122.884387	2024
210	FEF_R	Frontal_Eye_Fields_R	R	FEF	Fr	Premotor	46.370874	123.157282	123.201942	1030
211	PEF_R	Premotor_Eye_Field_R	R	PEF	Fr	Premotor	45.069136	127.783951	109.748148	810
212	55b_R	Area_55b_R	R	55b	Fr	Premotor	41.45439	127.938619	119.895993	1173
213	V3A_R	Area_V3A_R	R	V3A	Occ	Dorsal_Stream_Visual	75.553398	36.584466	102.458252	1545
214	RSC_R	RetroSplenial_Complex_R	R	RSC	Par	Posterior_Cingulate	84.934198	92.434662	93.496756	1079
215	POS2_R	Parieto-Occipital_Sulcus_Area_2_R	R	POS2	Par	Posterior_Cingulate	80.662438	56.100589	108.736747	2207
216	V7_R	Seventh_Visual_Area_R	R	V7	Occ	Dorsal_Stream_Visual	62.285714	42.400534	103.668892	749
