index	label	name	hemisphere	lobe	cortex_type	region_id	r	g	b	x_cog	y_cog	z_cog	volume_mm3
1	V1_L	Primary_Visual_Cortex_L	L	Occ	Primary_Visual	1.0	216	117	0	100.491589	41.138901	71.63704	6717.0
2	V2_L	Second_Visual_Area_L	L	Occ	Early_Visual	4.0	50	224	0	102.236656	44.064791	74.401125	6220.0
3	V3_L	Third_Visual_Area_L	L	Occ	Early_Visual	5.0	58	133	0	107.926111	40.632159	76.961153	4994.0
4	V4_L	Fourth_Visual_Area_L	L	Occ	Early_Visual	6.0	44	241	0	120.481621	41.344329	69.955702	3183.0
5	IPS1_L	IntraParietal_Sulcus_Area_1_L	L	Par	Dorsal_Stream_Visual	17.0	59	163	0	114.19184	51.537326	110.430556	1152.0
6	V3A_L	Area_V3A_L	L	Occ	Dorsal_Stream_Visual	13.0	112	245	0	104.528505	33.597072	99.335131	1298.0
7	V3B_L	Area_V3B_L	L	Occ	Dorsal_Stream_Visual	19.0	80	62	0	117.755656	42.828054	88.434389	442.0
8	V6_L	Sixth_Visual_Area_L	L	Occ	Dorsal_Stream_Visual	3.0	236	173	0	104.543112	44.481665	103.916749	1009.0
9	V6A_L	Area_V6A_L	L	Occ	Dorsal_Stream_Visual	152.0	110	74	0	112.534483	39.66092	114.188218	696.0
10	V7_L	Seventh_Visual_Area_L	L	Occ	Dorsal_Stream_Visual	16.0	48	172	0	114.850993	39.443709	100.271523	604.0
11	FFC_L	Fusiform_Face_Complex_L	L	Temp	Ventral_Stream_Visual	18.0	231	178	0	133.940136	69.78536	52.618797	3224.0
12	PIT_L	Posterior_InferoTemporal_complex_L	L	Occ	Ventral_Stream_Visual	22.0	250	18	0	137.394161	48.92805	61.153285	959.0
13	V8_L	Eighth_Visual_Area_L	L	Occ	Ventral_Stream_Visual	7.0	112	65	0	123.013193	51.8927	56.759015	1137.0
14	VMV1_L	VentroMedial_Visual_Area_1_L	L	Occ	Ventral_Stream_Visual	153.0	29	58	0	110.244105	74.319001	64.307906	721.0
15	VMV2_L	VentroMedial_Visual_Area_2_L	L	Occ	Ventral_Stream_Visual	160.0	66	171	0	119.360502	74.39185	66.366771	319.0
16	VMV3_L	VentroMedial_Visual_Area_3_L	L	Occ	Ventral_Stream_Visual	154.0	105	216	0	119.618762	64.508982	61.017964	501.0
17	VVC_L	Ventral_Visual_Complex_L	L	Temp	Ventral_Stream_Visual	163.0	152	88	0	121.913003	74.920407	53.816752	2161.0
18	FST_L	Area_FST_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	157.0	67	200	0	137.648765	57.787325	76.535983	931.0
19	LO1_L	Area_Lateral_Occipital_1_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	20.0	154	173	0	132.592541	39.361878	78.374309	724.0
20	LO2_L	Area_Lateral_Occipital_2_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	21.0	182	2	0	137.691983	45.555907	68.914557	948.0
21	LO3_L	Area_Lateral_Occipital_3_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	159.0	57	154	0	136.842415	48.964654	85.864507	679.0
22	MST_L	Medial_Superior_Temporal_Area_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	2.0	30	99	0	132.416667	58.901786	82.059524	336.0
23	MT_L	Middle_Temporal_Area_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	23.0	76	234	0	133.489855	55.521739	82.907246	345.0
24	PH_L	Area_PH_L	L	Temp	MT+_Complex_and_Neighboring_Visual_Areas	138.0	82	1	0	139.578644	61.953921	65.579087	2257.0
25	V3CD_L	Area_V3CD_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	158.0	109	118	0	125.152542	36.195686	81.429892	649.0
26	V4t_L	Area_V4t_L	L	Occ	MT+_Complex_and_Neighboring_Visual_Areas	156.0	130	109	0	138.695811	48.185792	74.724954	549.0
27	1_L	Area_1_L	L	Par	Somatosensory_and_Motor	51.0	22	118	0	138.150337	99.962157	127.34085	3858.0
28	2_L	Area_2_L	L	Par	Somatosensory_and_Motor	52.0	67	197	0	129.508165	92.68818	123.900078	2572.0
29	3a_L	Area_3a_L	L	Fr	Somatosensory_and_Motor	53.0	205	83	0	125.373109	105.0	114.733613	1190.0
30	3b_L	Primary_Sensory_Cortex_L	L	Par	Somatosensory_and_Motor	9.0	8	201	0	129.664059	103.257279	123.682747	2301.0
31	4_L	Primary_Motor_Cortex_L	L	Fr	Somatosensory_and_Motor	8.0	237	121	0	119.338359	105.485002	126.65561	6301.0
32	23c_L	Area_23c_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	38.0	187	10	0	102.515493	96.142723	113.688263	1065.0
33	24dd_L	Dorsal_Area_24d_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	40.0	125	45	0	96.658505	110.468299	121.557499	2287.0
34	24dv_L	Ventral_Area_24d_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	41.0	148	185	0	100.068306	126.534153	115.301913	732.0
35	5L_L	Area_5L_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	39.0	61	121	0	105.121097	76.89642	144.418888	1313.0
36	5m_L	Area_5m_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	36.0	118	39	0	96.894004	83.917559	134.828694	934.0
37	5mv_L	Area_5m_ventral_L	L	Par	Paracentral_Lobular_and_Mid_Cingulate	37.0	246	87	0	104.643979	88.134031	121.951832	955.0
38	6ma_L	Area_6m_anterior_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	44.0	140	155	0	110.592627	130.136617	139.421933	3228.0
39	6mp_L	Area_6mp_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	55.0	133	49	0	100.026417	110.678674	141.063401	2082.0
40	SCEF_L	Supplementary_and_Cingulate_Eye_Field_L	L	Fr	Paracentral_Lobular_and_Mid_Cingulate	43.0	60	189	0	96.643496	131.532274	128.125124	3021.0
41	55b_L	Area_55b_L	L	Fr	Premotor	12.0	125	62	0	138.865752	124.683174	122.399165	1676.0
42	6a_L	Area_6_anterior_L	L	Fr	Premotor	96.0	160	234	0	115.421955	121.769876	126.648432	2742.0
43	6d_L	Dorsal_area_6_L	L	Fr	Premotor	54.0	174	69	0	124.128205	111.937022	138.11426	2223.0
44	6r_L	Rostral_Area_6_L	L	Fr	Premotor	78.0	101	196	0	143.753559	132.158363	88.451957	2248.0
45	6v_L	Ventral_Area_6_L	L	Fr	Premotor	56.0	94	49	0	149.799006	129.681108	103.925426	1408.0
46	FEF_L	Frontal_Eye_Fields_L	L	Fr	Premotor	10.0	252	74	0	132.579336	118.837638	121.922509	813.0
47	PEF_L	Premotor_Eye_Field_L	L	Fr	Premotor	11.0	10	24	0	136.772664	125.582985	112.956764	717.0
48	43_L	Area_43_L	L	Fr	Posterior_Opercular	99.0	226	147	0	147.447146	125.598309	80.808668	946.0
49	FOP1_L	Frontal_Opercular_Area_1_L	L	Fr	Posterior_Opercular	113.0	233	175	0	140.305709	128.198895	75.653775	543.0
50	OP1_L	Area_OP1-SII_L	L	Par	Posterior_Opercular	101.0	204	140	0	138.126662	103.983905	90.311407	1429.0
51	OP2-3_L	Area_OP2-3-VS_L	L	Par	Posterior_Opercular	102.0	26	109	0	131.5	109.658263	89.165266	714.0
52	OP4_L	Area_OP4-PV_L	L	Par	Posterior_Opercular	100.0	67	165	0	151.038095	113.658333	86.099405	1680.0
53	52_L	Area_52_L	L	Temp	Early_Auditory	103.0	86	166	0	130.277162	105.017738	70.645233	451.0
54	A1_L	Primary_Auditory_Cortex_L	L	Temp	Early_Auditory	24.0	174	174	0	135.998896	101.994481	82.398455	906.0
55	LBelt_L	Lateral_Belt_Complex_L	L	Temp	Early_Auditory	174.0	35	163	0	136.829565	99.368696	79.617391	575.0
56	MBelt_L	Medial_Belt_Complex_L	L	Temp	Early_Auditory	173.0	184	242	0	136.939267	110.757068	73.956021	955.0
57	PBelt_L	ParaBelt_Complex_L	L	Temp	Early_Auditory	124.0	28	54	0	144.62098	100.147014	79.898162	1306.0
58	PFcm_L	Area_PFcm_L	L	Par	Early_Auditory	105.0	167	181	0	141.793228	93.845101	92.239193	1388.0
59	RI_L	RetroInsular_Cortex_L	L	Par	Early_Auditory	104.0	127	61	0	130.666225	90.109934	91.313907	755.0
60	A4_L	Auditory_4_Complex_L	L	Temp	Auditory_Association	175.0	199	31	0	155.165477	104.292219	78.188243	2943.0
61	A5_L	Auditory_5_Complex_L	L	Temp	Auditory_Association	125.0	183	155	0	152.259123	112.858549	68.432144	2439.0
62	STGa_L	Area_STGa_L	L	Temp	Auditory_Association	123.0	231	115	0	139.957301	140.979968	50.18292	1897.0
63	STSda_L	Area_STSd_anterior_L	L	Temp	Auditory_Association	128.0	228	117	0	143.831461	123.554073	57.391854	1424.0
64	STSdp_L	Area_STSd_posterior_L	L	Temp	Auditory_Association	129.0	86	169	0	143.062832	94.156637	72.083186	1130.0
65	STSva_L	Area_STSv_anterior_L	L	Temp	Auditory_Association	176.0	179	197	0	142.689243	118.134462	52.832669	1004.0
66	STSvp_L	Area_STSv_posterior_L	L	Temp	Auditory_Association	130.0	51	90	0	146.913625	91.085158	67.189173	1644.0
67	TA2_L	Area_TA2_L	L	Temp	Auditory_Association	107.0	8	169	0	141.08604	129.967515	63.526778	1139.0
68	AAIC_L	Anterior_Agranular_Insula_Complex_L	L	Ins	Insular_and_Frontal_Opercular	112.0	190	107	0	126.225504	139.71902	60.595101	1388.0
69	AVI_L	Anterior_Ventral_Insular_Area_L	L	Fr	Insular_and_Frontal_Opercular	111.0	128	215	0	121.113485	150.508678	67.823765	749.0
70	FOP2_L	Frontal_Opercular_Area_2_L	L	Fr	Insular_and_Frontal_Opercular	115.0	123	213	0	133.704403	121.251572	85.752621	477.0
71	FOP3_L	Frontal_Opercular_Area_3_L	L	Ins	Insular_and_Frontal_Opercular	114.0	231	66	0	126.0	128.96978	84.425824	364.0
72	FOP4_L	Frontal_Opercular_Area_4_L	L	Fr	Insular_and_Frontal_Opercular	108.0	156	157	0	133.429119	138.892173	76.685824	1827.0
73	FOP5_L	Area_Frontal_Opercular_5_L	L	Fr	Insular_and_Frontal_Opercular	169.0	158	149	0	125.928129	152.826518	75.615861	807.0
74	Ig_L	Insular_Granular_Complex_L	L	Ins	Insular_and_Frontal_Opercular	168.0	220	138	0	126.25974	110.064935	86.446429	616.0
75	MI_L	Middle_Insular_Area_L	L	Ins	Insular_and_Frontal_Opercular	109.0	206	222	0	127.923709	136.443075	73.143779	1704.0
76	PI_L	Para-Insular_Area_L	L	Temp	Insular_and_Frontal_Opercular	178.0	148	68	0	134.650549	124.293407	56.102198	910.0
77	Pir_L	Pirform_Cortex_L	L	Temp	Insular_and_Frontal_Opercular	110.0	47	82	0	122.938706	130.870602	53.682179	881.0
78	PoI1_L	Area_Posterior_Insular_1_L	L	Ins	Insular_and_Frontal_Opercular	167.0	62	31	0	129.839378	113.685665	68.664076	1158.0
79	PoI2_L	Posterior_Insular_Area_2_L	L	Ins	Insular_and_Frontal_Opercular	106.0	227	240	0	131.140744	121.382156	71.041031	2096.0
80	H_L	Hippocampus_L	L	Temp	Medial_Temporal	120.0	8	165	0	120.203438	102.589542	54.63467	1396.0
81	PreS_L	PreSubiculum_L	L	Temp	Medial_Temporal	119.0	43	164	0	109.856877	94.634758	60.597584	1076.0
82	EC_L	Entorhinal_Cortex_L	L	Temp	Medial_Temporal	118.0	250	139	0	111.463631	115.664695	42.698403	1691.0
83	PeEc_L	Perirhinal_Ectorhinal_Cortex_L	L	Temp	Medial_Temporal	122.0	182	166	0	120.292051	116.757071	38.222388	3359.0
84	TF_L	Area_TF_L	L	Temp	Medial_Temporal	135.0	128	139	0	132.406298	105.142089	41.219662	2604.0
85	PHA1_L	ParaHippocampal_Area_1_L	L	Temp	Medial_Temporal	126.0	121	184	0	111.705833	90.678333	55.309167	1200.0
86	PHA2_L	ParaHippocampal_Area_2_L	L	Temp	Medial_Temporal	155.0	16	134	0	121.389831	90.169492	58.122881	236.0
87	PHA3_L	ParaHippocampal_Area_3_L	L	Temp	Medial_Temporal	127.0	174	254	0	124.479062	90.840871	51.123953	1194.0
88	PHT_L	Area_PHT_L	L	Temp	Lateral_Temporal	137.0	11	56	0	150.083714	66.180795	74.12733	2843.0
89	TE1a_L	Area_TE1_anterior_L	L	Temp	Lateral_Temporal	132.0	19	27	0	150.202228	122.362624	47.172277	4040.0
90	TE1m_L	Area_TE1_Middle_L	L	Temp	Lateral_Temporal	177.0	134	28	0	155.554922	101.395287	54.901178	2631.0
91	TE1p_L	Area_TE1_posterior_L	L	Temp	Lateral_Temporal	133.0	25	17	0	152.940325	78.805713	61.515946	5111.0
92	TE2a_L	Area_TE2_anterior_L	L	Temp	Lateral_Temporal	134.0	209	104	0	148.079856	104.370685	42.029109	3882.0
93	TE2p_L	Area_TE2_posterior_L	L	Temp	Lateral_Temporal	136.0	209	115	0	142.182155	83.665679	49.921881	2701.0
94	TGd_L	Area_TG_dorsal_L	L	Temp	Lateral_Temporal	131.0	185	94	0	127.26011	137.751977	35.261304	6701.0
95	TGv_L	Area_TG_Ventral_L	L	Temp	Lateral_Temporal	172.0	39	195	0	127.497751	123.922939	25.901949	3335.0
96	PSL_L	PeriSylvian_Language_Area_L	L	Par	Temporo-Parieto_Occipital_Junction	25.0	169	161	0	150.183112	78.426117	97.249877	2037.0
97	STV_L	Superior_Temporal_Visual_Area_L	L	Par	Temporo-Parieto-Occipital_Junction	28.0	133	197	0	152.198435	74.187814	89.932923	1789.0
98	TPOJ1_L	Area_TemporoParietoOccipital_Junction_1_L	L	Temp	Temporo-Parieto-Occipital_Junction	139.0	249	238	0	144.16796	79.669019	81.137615	1417.0
99	TPOJ2_L	Area_TemporoParietoOccipital_Junction_2_L	L	Par	Temporo-Parieto-Occipital_Junction	140.0	166	249	0	143.28	62.095686	87.299608	1275.0
100	TPOJ3_L	Area_TemporoParietoOccipital_Junction_3_L	L	Occ	Temporo-Parieto-Occipital_Junction	141.0	205	49	0	133.675835	54.257367	91.510806	509.0
101	7AL_L	Lateral_Area_7A_L	L	Par	Superior_Parietal	42.0	116	36	0	112.239867	73.178073	137.489037	1505.0
102	7Am_L	Medial_Area_7A_L	L	Par	Superior_Parietal	45.0	111	178	0	97.517305	65.146285	132.871251	2167.0
103	7PC_L	Area_7PC_L	L	Par	Superior_Parietal	47.0	211	24	0	128.238394	78.294856	131.844417	2391.0
104	7Pl_L	Lateral_Area_7P_L	L	Par	Superior_Parietal	46.0	22	134	0	105.278114	51.702539	127.938331	827.0
105	7Pm_L	Medial_Area_7P_L	L	Par	Superior_Parietal	29.0	34	136	0	95.248227	58.274232	121.498818	846.0
106	AIP_L	Anterior_IntraParietal_Area_L	L	Par	Superior_Parietal	117.0	45	220	0	130.372549	87.01364	112.687127	1173.0
107	LIPd_L	Area_Lateral_IntraParietal_dorsal_L	L	Par	Superior_Parietal	95.0	100	124	0	120.72028	70.784965	112.674825	572.0
108	LIPv_L	Area_Lateral_IntraParietal_ventral_L	L	Par	Superior_Parietal	48.0	213	101	0	121.655546	69.556357	124.250676	1109.0
109	MIP_L	Medial_IntraParietal_Area_L	L	Par	Superior_Parietal	50.0	205	172	0	115.970641	58.793594	119.152135	1124.0
110	VIP_L	Ventral_IntraParietal_Complex_L	L	Par	Superior_Parietal	49.0	16	190	0	114.787443	60.903859	134.815566	1529.0
111	IP0_L	Area_IntraParietal_0_L	L	Occ	Inferior_Parietal	146.0	102	133	0	122.033257	45.806193	97.033257	872.0
112	IP1_L	Area_IntraParietal_1_L	L	Par	Inferior_Parietal	145.0	135	89	0	121.635182	55.480069	111.34922	1154.0
113	IP2_L	Area_IntraParietal_2_L	L	Par	Inferior_Parietal	144.0	107	39	0	131.750374	77.285501	114.758595	1338.0
114	PF_L	Area_PF_Complex_L	L	Par	Inferior_Parietal	148.0	168	150	0	151.894297	89.867502	108.288348	4068.0
115	PFm_L	Area_PFm_Complex_L	L	Par	Inferior_Parietal	149.0	161	67	0	140.702334	70.065862	118.414359	5056.0
116	PFop_L	Area_PF_Opercular_L	L	Par	Inferior_Parietal	147.0	75	12	0	154.842679	102.913551	96.221963	1284.0
117	PFt_L	Area_PFt_L	L	Par	Inferior_Parietal	116.0	111	193	0	146.277662	100.807933	106.926931	958.0
118	PGi_L	Area_PGi_L	L	Par	Inferior_Parietal	150.0	4	62	0	138.62727	61.299798	99.072355	3469.0
119	PGp_L	Area_PGp_L	L	Occ	Inferior_Parietal	143.0	251	113	0	129.425332	40.278761	94.142146	1808.0
120	PGs_L	Area_PGs_L	L	Par	Inferior_Parietal	151.0	43	176	0	131.808463	48.857461	110.436526	3143.0
121	23d_L	Area_23d_L	L	Par	Posterior_Cingulate	32.0	28	92	0	93.867052	106.364162	109.955684	1038.0
122	31a_L	Area_31a_L	L	Par	Posterior_Cingulate	162.0	95	188	0	95.984389	88.707989	115.960514	1089.0
123	31pd_L	Area_31pd_L	L	Par	Posterior_Cingulate	161.0	51	101	0	102.136519	73.851536	106.767918	586.0
124	31pv_L	Area_31p_ventral_L	L	Par	Posterior_Cingulate	35.0	125	175	0	100.042751	81.552045	104.622677	538.0
125	7m_L	Area_7m_L	L	Par	Posterior_Cingulate	30.0	87	180	0	95.552556	64.056289	105.57668	1741.0
126	d23ab_L	Area_dorsal_23_a+b_L	L	Par	Posterior_Cingulate	34.0	243	113	0	93.768848	84.202983	102.524441	1207.0
127	DVT_L	Dorsal_Transitional_Visual_Area_L	L	Occ	Posterior_Cingulate	142.0	235	5	0	108.042324	53.086307	103.566805	1205.0
128	PCV_L	PreCuneus_Visual_Area_L	L	Par	Posterior_Cingulate	27.0	14	85	0	96.358639	76.151178	120.194372	1528.0
129	POS1_L	Parieto-Occipital_Sulcus_Area_1_L	L	Par	Posterior_Cingulate	31.0	189	109	0	101.731298	67.452417	84.880916	1965.0
130	POS2_L	Parieto-Occipital_Sulcus_Area_2_L	L	Occ	Posterior_Cingulate	15.0	69	69	0	98.677433	53.233641	109.394715	2384.0
131	ProS_L	ProStriate_Area_L	L	Par	Posterior_Cingulate	121.0	108	51	0	112.538922	71.057884	75.091816	501.0
132	RSC_L	RetroSplenial_Complex_L	L	Par	Posterior_Cingulate	14.0	140	210	0	96.918149	86.60261	88.986951	843.0
