index	label	name	hemisphere	lobe	cortex_type	region_id	r	g	b	x_cog	y_cog	z_cog	volume_mm3
202	MST_R	Medial_Superior_Temporal_Area_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	202.0	30	99	0	43.620295	63.751227	78.013093	611.0
203	MT_R	Middle_Temporal_Area_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	223.0	76	234	0	38.58547	57.830484	80.888889	702.0
204	PH_R	Area_PH_R	R	Temp	MT+_Complex_and_Neighboring_Visual_Areas	338.0	82	1	0	41.367731	64.734587	61.13861	2287.0
205	V3CD_R	Area_V3CD_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	358.0	109	118	0	51.141138	43.050328	83.778993	914.0
206	V4t_R	Area_V4t_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	356.0	130	109	0	41.209816	53.52638	69.720245	815.0
207	1_R	Area_1_R	R	Par	Somatosensory_and_Motor	251.0	22	118	0	41.860496	104.311709	125.768987	3792.0
208	2_R	Area_2_R	R	Par	Somatosensory_and_Motor	252.0	67	197	0	52.428189	95.303667	122.502292	2618.0
209	3a_R	Area_3a_R	R	Fr	Somatosensory_and_Motor	253.0	205	83	0	58.537415	105.608844	118.408163	1176.0
210	3b_R	Primary_Sensory_Cortex_R	R	Fr	Somatosensory_and_Motor	209.0	8	201	0	52.032115	105.85919	122.884387	2024.0
211	4_R	Primary_Motor_Cortex_R	R	Fr	Somatosensory_and_Motor	208.0	237	121	0	60.980681	108.738321	126.822972	5694.0
212	23c_R	Area_23c_R	R	Par	Paracentral_Lobular_and_Mid_Cingulate	238.0	187	10	0	80.814159	89.430678	115.231268	1695.0
213	24dd_R	Dorsal_Area_24d_R	R	Fr	Paracentral_Lobular_and_Mid_Cingulate	240.0	125	45	0	84.408074	109.82229	124.363317	2279.0
214	24dv_R	Ventral_Area_24d_R	R	Fr	Paracentral_Lobular_and_Mid_Cingulate	241.0	148	185	0	82.241719	124.339302	118.569382	1117.0
215	5L_R	Area_5L_R	R	Par	Paracentral_Lobular_and_Mid_Cingulate	239.0	61	121	0	77.196914	77.524614	145.837619	1361.0
216	5m_R	Area_5m_R	R	Par	Paracentral_Lobular_and_Mid_Cingulate	236.0	118	39	0	85.168053	86.77371	136.587354	1202.0
217	5mv_R	Area_5m_ventral_R	R	Par	Paracentral_Lobular_and_Mid_Cingulate	237.0	246	87	0	79.398401	84.221852	127.565623	1501.0
218	6ma_R	Area_6m_anterior_R	R	Fr	Paracentral_Lobular_and_Mid_Cingulate	244.0	140	155	0	69.698918	131.674072	137.728442	3421.0
219	6mp_R	Area_6mp_R	R	Fr	Paracentral_Lobular_and_Mid_Cingulate	255.0	133	49	0	75.523118	112.953763	140.165054	1860.0
220	SCEF_R	Supplementary_and_Cingulate_Eye_Field_R	R	Fr	Paracentral_Lobular_and_Mid_Cingulate	243.0	60	189	0	84.455241	131.183536	131.043635	2223.0
221	55b_R	Area_55b_R	R	Fr	Premotor	212.0	125	62	0	41.45439	127.938619	119.895993	1173.0
222	6a_R	Area_6_anterior_R	R	Fr	Premotor	296.0	160	234	0	64.183119	124.292844	124.65945	2725.0
223	6d_R	Dorsal_area_6_R	R	Fr	Premotor	254.0	174	69	0	53.27913	114.122216	136.10668	1931.0
224	6r_R	Rostral_Area_6_R	R	Fr	Premotor	278.0	101	196	0	39.694803	135.156311	86.720594	2559.0
225	6v_R	Ventral_Area_6_R	R	Fr	Premotor	256.0	94	49	0	32.423866	132.818138	103.072554	2095.0
226	FEF_R	Frontal_Eye_Fields_R	R	Fr	Premotor	210.0	252	74	0	46.370874	123.157282	123.201942	1030.0
227	PEF_R	Premotor_Eye_Field_R	R	Fr	Premotor	211.0	10	24	0	45.069136	127.783951	109.748148	810.0
228	43_R	Area_43_R	R	Fr	Posterior_Opercular	299.0	226	147	0	34.231572	127.220516	81.591523	1628.0
229	FOP1_R	Frontal_Opercular_Area_1_R	R	Fr	Posterior_Opercular	313.0	233	175	0	43.638509	131.004969	75.765217	805.0
230	OP1_R	Area_OP1-SII_R	R	Par	Posterior_Opercular	301.0	204	140	0	45.814286	107.14898	89.419388	980.0
231	OP2-3_R	Area_OP2-3-VS_R	R	Par	Posterior_Opercular	302.0	26	109	0	51.053528	111.892944	90.335766	411.0
232	OP4_R	Area_OP4-PV_R	R	Par	Posterior_Opercular	300.0	67	165	0	31.065974	115.43372	85.110568	1637.0
233	52_R	Area_52_R	R	Ins	Early_Auditory	303.0	86	166	0	52.031915	105.12766	73.634752	282.0
234	A1_R	Primary_Auditory_Cortex_R	R	Temp	Early_Auditory	224.0	174	174	0	46.328479	105.454693	81.894822	618.0
235	LBelt_R	Lateral_Belt_Complex_R	R	Temp	Early_Auditory	374.0	35	163	0	41.808564	101.870277	81.278338	794.0
236	MBelt_R	Medial_Belt_Complex_R	R	Temp	Early_Auditory	373.0	184	242	0	43.806818	111.762784	74.931818	704.0
237	PBelt_R	ParaBelt_Complex_R	R	Temp	Early_Auditory	324.0	28	54	0	33.096591	107.575487	79.568994	1232.0
238	PFcm_R	Area_PFcm_R	R	Par	Early_Auditory	305.0	167	181	0	42.446673	98.010939	94.233364	1097.0
239	RI_R	RetroInsular_Cortex_R	R	Par	Early_Auditory	304.0	127	61	0	46.93904	94.059663	90.975357	771.0
240	A4_R	Auditory_4_Complex_R	R	Temp	Auditory_Association	375.0	199	31	0	25.519804	111.76766	76.545529	2449.0
241	A5_R	Auditory_5_Complex_R	R	Temp	Auditory_Association	325.0	183	155	0	29.134363	113.095062	68.029224	2977.0
242	STGa_R	Area_STGa_R	R	Temp	Auditory_Association	323.0	231	115	0	41.594035	142.606208	49.973828	1643.0
243	STSda_R	Area_STSd_anterior_R	R	Temp	Auditory_Association	328.0	228	117	0	38.705061	125.180919	55.141361	1719.0
244	STSdp_R	Area_STSd_posterior_R	R	Temp	Auditory_Association	329.0	86	169	0	41.526702	98.094126	69.690254	1498.0
245	STSva_R	Area_STSv_anterior_R	R	Temp	Auditory_Association	376.0	179	197	0	32.924419	117.527907	54.337791	1720.0
246	STSvp_R	Area_STSv_posterior_R	R	Temp	Auditory_Association	330.0	51	90	0	30.95466	98.034257	65.971788	1985.0
247	TA2_R	Area_TA2_R	R	Temp	Auditory_Association	307.0	8	169	0	39.836312	130.301644	63.779843	1399.0
248	AAIC_R	Anterior_Agranular_Insula_Complex_R	R	Ins	Insular_and_Frontal_Opercular	312.0	190	107	0	54.936552	141.408966	60.337241	1450.0
249	AVI_R	Anterior_Ventral_Insular_Area_R	R	Ins	Insular_and_Frontal_Opercular	311.0	128	215	0	58.445161	150.95914	67.72043	930.0
250	FOP2_R	Frontal_Opercular_Area_2_R	R	Ins	Insular_and_Frontal_Opercular	315.0	123	213	0	49.524038	122.612981	86.716346	416.0
251	FOP3_R	Frontal_Opercular_Area_3_R	R	Ins	Insular_and_Frontal_Opercular	314.0	231	66	0	56.149813	133.580524	83.445693	267.0
252	FOP4_R	Frontal_Opercular_Area_4_R	R	Fr	Insular_and_Frontal_Opercular	308.0	156	157	0	50.523336	141.361132	77.437643	1307.0
253	FOP5_R	Area_Frontal_Opercular_5_R	R	Ins	Insular_and_Frontal_Opercular	369.0	158	149	0	53.738178	153.878893	75.189158	867.0
254	Ig_R	Insular_Granular_Complex_R	R	Ins	Insular_and_Frontal_Opercular	368.0	220	138	0	54.984127	112.0839	86.482993	441.0
255	MI_R	Middle_Insular_Area_R	R	Ins	Insular_and_Frontal_Opercular	309.0	206	222	0	52.77037	135.922222	73.7	1350.0
256	PI_R	Para-Insular_Area_R	R	Temp	Insular_and_Frontal_Opercular	378.0	148	68	0	47.013363	123.157016	57.926503	898.0
257	Pir_R	Pirform_Cortex_R	R	Temp	Insular_and_Frontal_Opercular	310.0	47	82	0	57.555081	133.362084	52.703672	1171.0
258	PoI1_R	Area_Posterior_Insular_1_R	R	Ins	Insular_and_Frontal_Opercular	367.0	62	31	0	52.45642	115.341143	68.178069	1067.0
259	PoI2_R	Posterior_Insular_Area_2_R	R	Ins	Insular_and_Frontal_Opercular	306.0	227	240	0	50.080778	122.827214	71.63067	2315.0
260	H_R	Hippocampus_R	R	Temp	Medial_Temporal	320.0	8	165	0	60.712375	103.927258	54.33194	1196.0
261	PreS_R	PreSubiculum_R	R	Temp	Medial_Temporal	319.0	43	164	0	70.221751	95.334746	62.004237	708.0
262	EC_R	Entorhinal_Cortex_R	R	Temp	Medial_Temporal	318.0	250	139	0	70.108232	115.451982	45.18064	1312.0
263	PeEc_R	Perirhinal_Ectorhinal_Cortex_R	R	Temp	Medial_Temporal	322.0	182	166	0	63.003326	117.21583	36.977054	3007.0
264	TF_R	Area_TF_R	R	Temp	Medial_Temporal	335.0	128	139	0	49.626318	105.570338	41.435842	2751.0
265	PHA1_R	ParaHippocampal_Area_1_R	R	Temp	Medial_Temporal	326.0	121	184	0	70.162458	92.5	55.005892	1188.0
266	PHA2_R	ParaHippocampal_Area_2_R	R	Temp	Medial_Temporal	355.0	16	134	0	60.39823	91.648968	57.716814	339.0
267	PHA3_R	ParaHippocampal_Area_3_R	R	Temp	Medial_Temporal	327.0	174	254	0	56.793319	89.695198	55.185804	479.0
268	PHT_R	Area_PHT_R	R	Temp	Lateral_Temporal	337.0	11	56	0	30.004594	73.093109	65.673201	3265.0
269	TE1a_R	Area_TE1_anterior_R	R	Temp	Lateral_Temporal	332.0	19	27	0	32.156938	125.713112	43.546788	3409.0
270	TE1m_R	Area_TE1_Middle_R	R	Temp	Lateral_Temporal	377.0	134	28	0	26.146605	102.236497	53.246528	2592.0
271	TE1p_R	Area_TE1_posterior_R	R	Temp	Lateral_Temporal	333.0	25	17	0	27.790845	84.652057	59.44899	4107.0
272	TE2a_R	Area_TE2_anterior_R	R	Temp	Lateral_Temporal	334.0	209	104	0	35.763051	107.785779	39.880513	4444.0
273	TE2p_R	Area_TE2_posterior_R	R	Temp	Lateral_Temporal	336.0	209	115	0	41.843798	89.348137	49.277693	1959.0
274	TGd_R	Area_TG_dorsal_R	R	Temp	Lateral_Temporal	331.0	185	94	0	55.264395	140.071941	34.559763	7103.0
275	TGv_R	Area_TG_Ventral_R	R	Temp	Lateral_Temporal	372.0	39	195	0	56.653745	123.570388	25.638589	3431.0
276	PSL_R	PeriSylvian_Language_Area_R	R	Par	Temporo-Parieto-Occipital_Junction	225.0	169	161	0	25.980366	89.316377	98.788934	2241.0
277	STV_R	Superior_Temporal_Visual_Area_R	R	Par	Temporo-Parieto-Occipital_Junction	228.0	133	197	0	30.525124	81.598012	91.518498	1811.0
278	TPOJ1_R	Area_TemporoParietoOccipital_Junction_1_R	R	Temp	Temporo-Parieto-Occipital_Junction	339.0	249	238	0	36.339798	82.305051	82.842828	2475.0
279	TPOJ2_R	Area_TemporoParietoOccipital_Junction_2_R	R	Par	Temporo-Parieto-Occipital_Junction	340.0	166	249	0	34.431659	69.409508	81.67477	1851.0
280	TPOJ3_R	Area_TemporoParietoOccipital_Junction_3_R	R	Par	Temporo-Parieto-Occipital_Junction	341.0	205	49	0	44.569097	65.107726	91.621328	919.0
281	7AL_R	Lateral_Area_7A_R	R	Par	Superior_Parietal	242.0	116	36	0	66.808871	72.715323	139.629032	1240.0
282	7Am_R	Medial_Area_7A_R	R	Par	Superior_Parietal	245.0	111	178	0	81.616644	64.449523	132.899045	1466.0
283	7PC_R	Area_7PC_R	R	Par	Superior_Parietal	247.0	211	24	0	54.30504	78.639699	133.54244	2262.0
284	7Pl_R	Lateral_Area_7P_R	R	Par	Superior_Parietal	246.0	22	134	0	78.082592	52.547649	129.927573	787.0
285	7Pm_R	Medial_Area_7P_R	R	Par	Superior_Parietal	229.0	34	136	0	84.893683	59.192604	121.912173	649.0
286	AIP_R	Anterior_IntraParietal_Area_R	R	Par	Superior_Parietal	317.0	45	220	0	53.147097	85.464516	115.539355	1550.0
287	LIPd_R	Area_Lateral_IntraParietal_dorsal_R	R	Par	Superior_Parietal	295.0	100	124	0	60.154362	70.736018	115.630872	447.0
288	LIPv_R	Area_Lateral_IntraParietal_ventral_R	R	Par	Superior_Parietal	248.0	213	101	0	62.004614	69.61707	125.258362	867.0
289	MIP_R	Medial_IntraParietal_Area_R	R	Par	Superior_Parietal	250.0	205	172	0	63.267232	58.20226	123.986441	1770.0
290	VIP_R	Ventral_IntraParietal_Complex_R	R	Par	Superior_Parietal	249.0	16	190	0	68.916533	63.23114	135.889246	623.0
291	IP0_R	Area_IntraParietal_0_R	R	Par	Inferior_Parietal	346.0	102	133	0	56.220528	48.778455	98.620935	984.0
292	IP1_R	Area_IntraParietal_1_R	R	Par	Inferior_Parietal	345.0	135	89	0	56.10469	57.245394	114.665829	1194.0
293	IP2_R	Area_IntraParietal_2_R	R	Par	Inferior_Parietal	344.0	107	39	0	49.719313	79.054936	117.186266	1165.0
294	PF_R	Area_PF_Complex_R	R	Par	Inferior_Parietal	348.0	168	150	0	29.656612	96.343693	111.425046	3282.0
295	PFm_R	Area_PFm_Complex_R	R	Par	Inferior_Parietal	349.0	161	67	0	38.024068	76.292314	117.520769	5152.0
296	PFop_R	Area_PF_Opercular_R	R	Par	Inferior_Parietal	347.0	75	12	0	28.000702	105.724719	95.294944	1424.0
297	PFt_R	Area_PFt_R	R	Par	Inferior_Parietal	316.0	111	193	0	36.126206	103.276912	110.400148	1347.0
298	PGi_R	Area_PGi_R	R	Par	Inferior_Parietal	350.0	4	62	0	37.886767	66.21809	101.865327	2985.0
299	PGp_R	Area_PGp_R	R	Par	Inferior_Parietal	343.0	251	113	0	45.491584	48.937135	98.336654	2911.0
